Contact Id,TxStart [s],TxStart [UTCG],TxStop [s],TxStop [UTCG],SourceEid,SourceName,DestinEid,DestinName,Avg. Delay [s],Data Rate [Bytes/s],Volume [Bytes],Region
9,0,1 Jan 2023 09:59:58.719,17565,1 Jan 2023 14:52:44.161,2,[2] gs-canberra,24,[24] circ,1.28312787746938,3750000,65868750000,B
11,0,1 Jan 2023 09:59:58.704,17435,1 Jan 2023 14:50:34.178,2,[2] gs-canberra,25,[25] north0,1.29301525788457,3750000,65381250000,B
12,0,1 Jan 2023 09:59:58.726,17572,1 Jan 2023 14:52:51.383,2,[2] gs-canberra,26,[26] north1,1.28352950825623,3750000,65895000000,B
13,0,1 Jan 2023 09:59:58.704,17783,1 Jan 2023 14:56:22.271,2,[2] gs-canberra,28,[28] south1,1.29060282261024,3750000,66686250000,B
14,0,1 Jan 2023 09:59:58.709,1669,1 Jan 2023 10:27:48.335,2,[2] gs-canberra,27,[27] south0,1.29616765260062,3750000,6258750000,B
16,0,1 Jan 2023 10:00:00.000,16432,1 Jan 2023 14:33:51.487,4,[4] ls-00-peary,26,[26] north1,0.0241907116570277,1875000,30810000000,C
19,0,1 Jan 2023 10:00:00.000,16717,1 Jan 2023 14:38:36.914,5,[5] ls-01-shackleton,28,[28] south1,0.0239387393050123,1875000,31344375000,E
21,0,1 Jan 2023 10:00:00.000,18775,1 Jan 2023 15:12:54.236,10,[10] ls-06,26,[26] north1,0.0211572950581131,1875000,35203125000,C
23,0,1 Jan 2023 10:00:00.000,11859,1 Jan 2023 13:17:38.921,14,[14] ls-10,26,[26] north1,0.029535976704236,1875000,22235625000,C
25,0,1 Jan 2023 10:00:00.000,10919,1 Jan 2023 13:01:58.861,6,[6] ls-02,26,[26] north1,0.0283407835643329,1875000,20473125000,C
28,0,1 Jan 2023 10:00:00.000,13215,1 Jan 2023 13:40:14.811,8,[8] ls-04,24,[24] circ,0.0163324285380168,1875000,24778125000,D
29,0,1 Jan 2023 10:00:00.000,15125,1 Jan 2023 14:12:04.919,8,[8] ls-04,26,[26] north1,0.0257221034859066,1875000,28359375000,C
34,0,1 Jan 2023 10:00:00.000,6004,1 Jan 2023 11:40:03.603,7,[7] ls-03,24,[24] circ,0.0174835702860855,1875000,11257500000,D
37,0,1 Jan 2023 10:00:00.000,19364,1 Jan 2023 15:22:43.879,9,[9] ls-05,28,[28] south1,0.0212841146721397,1875000,36307500000,E
41,0,1 Jan 2023 10:00:00.000,3452,1 Jan 2023 10:57:31.618,13,[13] ls-09,28,[28] south1,0.0319332172601257,1875000,6472500000,E
42,0,1 Jan 2023 10:00:00.000,14263,1 Jan 2023 13:57:42.955,17,[17] ls-13,28,[28] south1,0.0257058099694921,1875000,26743125000,E
44,0,1 Jan 2023 10:00:00.000,14535,1 Jan 2023 14:02:14.792,18,[18] ls-14,26,[26] north1,0.0262380795021731,1875000,27253125000,C
47,0,1 Jan 2023 10:00:00.000,16480,1 Jan 2023 14:34:39.842,19,[19] ls-15,26,[26] north1,0.0236606325786079,1875000,30900000000,C
49,0,1 Jan 2023 10:00:00.000,17587,1 Jan 2023 14:53:06.115,20,[20] ls-16,26,[26] north1,0.0232975090135104,1875000,32975625000,C
50,0,1 Jan 2023 10:00:00.000,14922,1 Jan 2023 14:08:41.693,21,[21] ls-17,28,[28] south1,0.0256799428565452,1875000,27978750000,E
